"gender","age","attitude","points","deep","stra","surf"
"F",53,3.7,25,3.58333333333333,3.375,2.58333333333333
"M",55,3.1,12,2.91666666666667,2.75,3.16666666666667
"F",49,2.5,24,3.5,3.625,2.25
"M",53,3.5,10,3.5,3.125,2.25
"M",49,3.7,22,3.66666666666667,3.625,2.83333333333333
"F",38,3.8,21,4.75,3.625,2.41666666666667
"M",50,3.5,21,3.83333333333333,2.25,1.91666666666667
"F",37,2.9,31,3.25,4,2.83333333333333
"M",37,3.8,24,4.33333333333333,4.25,2.16666666666667
"F",42,2.1,26,4,3.5,3
"M",37,3.9,31,3.58333333333333,3.625,2.66666666666667
"F",34,3.8,31,3.83333333333333,4.75,2.41666666666667
"F",34,2.4,23,4.25,3.625,2.25
"F",34,3,25,3.33333333333333,3.5,2.75
"M",35,2.6,21,4.16666666666667,1.75,2.33333333333333
"F",33,4.1,31,3.66666666666667,3.875,2.33333333333333
"F",32,2.6,20,4.08333333333333,1.375,2.91666666666667
"F",44,2.6,22,3.5,3.25,2.5
"M",29,1.7,9,4.08333333333333,3,3.75
"F",30,2.7,24,4,3.75,2.75
"M",27,3.9,28,3.91666666666667,2.625,2.33333333333333
"M",29,3.4,30,4,2.375,2.41666666666667
"F",31,2.7,24,4,3.625,3
"F",37,2.3,9,3.66666666666667,2.75,2.41666666666667
"F",26,3.7,26,3.66666666666667,1.75,2.83333333333333
"F",26,4.4,32,4.41666666666667,3.25,3.16666666666667
"M",30,4.1,32,3.91666666666667,4,3
"F",33,3.7,33,3.75,3.625,2
"F",33,2.5,29,3.25,2.875,3.5
"M",28,3,30,3.58333333333333,3,3.75
"M",26,3.4,19,4.91666666666667,1.625,2.5
"F",27,3.2,23,3.58333333333333,3.25,2.08333333333333
"F",25,2,19,2.91666666666667,3.5,2.41666666666667
"F",31,2.4,12,3.66666666666667,3,2.58333333333333
"M",20,4.2,10,4.5,3.25,1.58333333333333
"F",39,1.6,11,4.08333333333333,1.875,2.83333333333333
"M",38,3.1,20,3.83333333333333,4.375,1.83333333333333
"M",24,3.8,26,3.25,3.625,2.41666666666667
"M",26,3.8,31,2.33333333333333,2.5,3.25
"M",25,3.3,20,3.33333333333333,1.25,3.41666666666667
"F",30,1.7,23,4.08333333333333,4,3.41666666666667
"F",25,2.5,12,2.91666666666667,3,3.16666666666667
"M",30,3.2,24,3.33333333333333,2.5,3.5
"F",48,3.5,17,3.83333333333333,4.875,2.66666666666667
"F",24,3.2,29,3.66666666666667,5,2.41666666666667
"F",40,4.2,23,4.66666666666667,4.375,3.58333333333333
"M",25,3.1,28,3.75,3.25,2.08333333333333
"F",23,3.9,31,3.41666666666667,4,3.75
"F",25,1.9,23,4.16666666666667,3.125,2.91666666666667
"F",23,2.1,25,2.91666666666667,2.5,2.91666666666667
"M",27,2.5,18,4.16666666666667,3.125,2.41666666666667
"M",25,3.2,19,3.58333333333333,3.25,3
"M",23,3.2,22,2.83333333333333,2.125,3.41666666666667
"F",23,2.6,25,4,2.75,2.91666666666667
"F",23,2.3,21,2.91666666666667,2.375,3.25
"F",45,3.8,9,3,3.125,3.25
"F",22,2.8,28,4.08333333333333,4,2.33333333333333
"F",23,3.3,25,2.91666666666667,4,3.25
"M",21,4.8,29,3.5,2.25,2.5
"M",21,4,33,4.33333333333333,3.25,1.75
"F",21,4,33,4.25,3.625,2.25
"F",21,4.7,25,3.41666666666667,3.625,2.08333333333333
"F",26,2.3,18,3.08333333333333,2.5,2.83333333333333
"F",25,3.1,22,4.58333333333333,1.875,2.83333333333333
"F",26,2.7,17,3.41666666666667,2,2.41666666666667
"M",21,4.1,25,3.41666666666667,1.875,2.25
"F",23,3.4,28,3.41666666666667,4,2.83333333333333
"F",22,2.5,22,3.58333333333333,2.875,2.25
"F",22,2.1,26,1.58333333333333,3.875,1.83333333333333
"F",22,1.4,11,3.33333333333333,2.5,2.91666666666667
"F",23,1.9,29,4.33333333333333,2.75,2.91666666666667
"M",22,3.7,22,4.41666666666667,4.5,2.08333333333333
"M",23,3.2,21,4.83333333333333,3.375,2.33333333333333
"M",24,2.8,28,3.08333333333333,2.625,2.41666666666667
"F",22,4.1,33,3,4.125,2.75
"F",23,2.5,16,4.08333333333333,2.625,3.25
"M",22,2.8,31,4.08333333333333,2.25,1.75
"M",20,3.8,22,3.75,2.75,2.58333333333333
"M",22,3.1,31,3.08333333333333,3,3.33333333333333
"M",21,3.5,23,4.75,1.625,2.83333333333333
"F",22,3.6,26,4.25,1.875,2.5
"F",23,2.6,12,4.16666666666667,3.375,2.41666666666667
"M",21,4.4,26,4.41666666666667,3.75,2.41666666666667
"M",22,4.5,31,3.83333333333333,2.125,2.58333333333333
"M",29,3.2,19,3.33333333333333,2.375,3
"F",29,3.9,30,3.16666666666667,2.75,2
"F",21,2.5,12,3.16666666666667,3.125,3.41666666666667
"M",28,3.3,17,3.83333333333333,3.5,2.83333333333333
"F",21,3.3,18,4.25,2.625,2.25
"F",30,3,19,3.83333333333333,3.375,2.75
"F",21,2.9,21,3.66666666666667,2.25,3.91666666666667
"M",23,3.3,24,3.83333333333333,3,2.33333333333333
"F",21,3.3,28,3.83333333333333,4,2.75
"F",21,3.5,17,3.83333333333333,3.5,2.75
"F",20,3.6,18,3.66666666666667,2.625,2.91666666666667
"M",22,3.7,17,4.33333333333333,2.5,2.08333333333333
"M",21,4.2,23,3.75,3.75,3.66666666666667
"M",21,3.2,26,4.16666666666667,3.625,2.83333333333333
"F",20,5,28,4,4.125,3.41666666666667
"M",22,4.7,31,4,4.375,1.58333333333333
"F",20,3.6,27,4.58333333333333,2.625,2.91666666666667
"F",20,3.6,25,3.66666666666667,4,3
"M",24,2.9,23,3.66666666666667,2.75,2.91666666666667
"F",20,3.5,21,3.83333333333333,2.75,2.66666666666667
"F",19,4,27,2.58333333333333,1.375,3
"F",21,3.5,28,3.5,2.25,2.75
"F",21,3.2,23,3.08333333333333,3.625,3.08333333333333
"F",22,2.6,21,4.25,3.75,2.5
"F",25,2,25,3.16666666666667,4,2.33333333333333
"F",21,2.7,11,3.08333333333333,3.125,3
"F",22,3.2,19,4.16666666666667,3.25,3
"F",25,3.3,24,2.25,2.125,4
"F",20,3.9,28,3.33333333333333,2.875,3.25
"M",24,3.3,21,3.08333333333333,1.5,3.5
"F",20,3,24,2.75,2.5,3.5
"M",21,3.7,24,3.25,3.25,3.83333333333333
"F",20,2.5,20,4,3.625,2.91666666666667
"F",20,2.9,19,3.58333333333333,3.875,2.16666666666667
"M",31,3.9,30,4.08333333333333,3.875,1.66666666666667
"F",20,3.6,22,4.25,2.375,2.08333333333333
"F",22,2.9,16,3.41666666666667,3,2.83333333333333
"F",22,2.1,16,3.08333333333333,3.375,3.41666666666667
"M",21,3.1,19,3.5,2.75,3.33333333333333
"M",22,4,30,3.66666666666667,4.5,2.58333333333333
"F",21,3.1,23,4.25,2.625,2.83333333333333
"F",21,2.3,19,4.25,2.75,3.33333333333333
"F",21,2.8,18,3.83333333333333,3.25,3
"F",21,3.7,28,4.41666666666667,4.125,2.58333333333333
"F",20,2.6,21,3.5,3.375,2.41666666666667
"F",21,2.4,19,3.58333333333333,2.75,3.58333333333333
"F",25,3,27,3.66666666666667,4.125,2.08333333333333
"M",21,2.8,24,2.08333333333333,3.25,4.33333333333333
"F",24,2.9,21,4.25,2.875,2.66666666666667
"F",20,2.4,20,3.58333333333333,2.875,3
"M",21,3.1,28,4,2.375,2.66666666666667
"F",20,1.9,12,3.33333333333333,3.875,2.16666666666667
"F",20,2,21,3.5,2.125,2.66666666666667
"F",18,3.8,28,3.16666666666667,4,2.25
"F",21,3.4,31,3.58333333333333,3.25,2.66666666666667
"F",19,3.7,18,3.41666666666667,2.625,3.33333333333333
"F",21,2.9,25,4.25,2.75,3.5
"F",20,2.3,19,3.25,4,2.75
"M",21,4.1,21,4.41666666666667,3,2
"F",20,2.7,16,3.25,3.375,2.83333333333333
"F",21,3.5,7,3.91666666666667,3.875,3.5
"F",20,3.4,21,3.58333333333333,3.25,2.5
"F",18,3.2,17,4.5,3.375,3.16666666666667
"M",22,3.3,22,3.58333333333333,4.125,3.08333333333333
"F",22,3.3,18,3.66666666666667,3.5,2.91666666666667
"M",24,3.5,25,2.58333333333333,2,3.16666666666667
"F",19,3.2,24,4.16666666666667,3.625,2.5
"F",20,3.1,23,3.25,3.375,3.83333333333333
"F",20,2.8,23,4.33333333333333,2.125,2.25
"F",17,1.7,26,3.91666666666667,4.625,3.41666666666667
"M",19,1.9,12,2.66666666666667,2.5,3.75
"F",20,3.5,32,3.08333333333333,2.875,3
"F",20,2.4,22,3.75,2.75,2.58333333333333
"F",20,2.1,20,4.16666666666667,4,3.33333333333333
"F",20,2.9,21,4.16666666666667,2.375,2.83333333333333
"F",19,1.9,23,3.25,3.875,3
"F",19,2,20,4.08333333333333,3.375,2.83333333333333
"F",22,4.2,28,2.91666666666667,1.75,3.16666666666667
"M",35,4.1,31,3.83333333333333,3,2.75
"F",18,3.7,18,3.16666666666667,2.625,3.41666666666667
"F",19,3.6,30,3.41666666666667,2.625,3
"M",21,1.8,19,4.08333333333333,3.375,2.66666666666667
